,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
346,ARQQ,1,0.0,0.909,0.091,0.202
347,PMCB,1,0.0,0.484,0.516,0.75
348,DPG,1,0.0,1.0,0.0,0.0
349,ARVL,1,0.0,1.0,0.0,0.0
350,QD,1,0.333,0.506,0.161,-0.7
351,DAL,1,0.0,0.753,0.247,0.921
352,PENN,1,0.0,0.811,0.189,0.421
353,AAL,1,0.0,1.0,0.0,0.0
354,UAL,1,0.0,1.0,0.0,0.0
355,CALT,1,0.0,0.819,0.181,0.477
356,OKE,1,0.0,1.0,0.0,0.0
357,BMRA,1,0.0,1.0,0.0,0.0
358,GIIX,1,0.0,0.75,0.25,0.94
359,KE,1,0.273,0.727,0.0,-0.459
360,BCE,1,0.0,1.0,0.0,0.0
361,EDR,1,0.105,0.766,0.129,0.153
362,CABA,1,0.0,0.621,0.379,0.598
363,NICE,1,0.385,0.256,0.359,-0.052
364,UE,1,0.0,1.0,0.0,0.0
365,IO,1,0.0,1.0,0.0,0.0
366,WKHS,1,0.0,0.426,0.574,0.402
367,CATL,1,0.0,0.643,0.357,0.718
368,OTLY,1,0.0,0.5,0.5,0.718
369,NFLX,1,0.714,0.286,0.0,-0.361
370,SBLK,1,0.0,0.625,0.375,0.66
371,EBAY,1,0.0,1.0,0.0,0.0
372,CRON,1,0.0,1.0,0.0,0.0
373,CD,1,0.0,1.0,0.0,0.0
374,ACB,1,0.0,1.0,0.0,0.0
375,AZ,1,0.0,1.0,0.0,0.0
376,TFSA,1,0.0,1.0,0.0,0.0
377,NEGG,1,0.545,0.455,0.0,-0.699
378,OXLC,1,0.0,1.0,0.0,0.0
379,GS,1,0.396,0.604,0.0,-0.507
380,OCLN,1,0.0,1.0,0.0,0.0
381,GWH,1,0.0,1.0,0.0,0.0
382,IBKR,1,0.0,1.0,0.0,0.0
383,SNOW,1,0.444,0.556,0.0,-0.153
384,AQST,1,0.0,1.0,0.0,0.0
385,EGY,1,0.0,1.0,0.0,0.0
386,ADGI,1,0.191,0.727,0.082,-0.527
387,KIDS,1,0.274,0.726,0.0,-0.527
388,SLDP,1,0.0,0.89,0.11,0.153
389,CPA,1,0.078,0.819,0.102,0.178
390,EARN,1,0.149,0.474,0.377,0.522
391,CVS,1,0.0,0.375,0.625,0.718
392,HYMC,1,0.0,1.0,0.0,0.0
393,HSBC,1,0.314,0.686,0.0,-0.494
394,DEX,1,0.214,0.584,0.201,-0.052
395,NVX,1,0.133,0.867,0.0,-0.382
396,CIK,1,0.0,0.843,0.157,0.077
397,TAK,1,0.0,0.811,0.189,0.42
398,BTO,1,0.0,1.0,0.0,0.0
399,LKQ,1,0.139,0.861,0.0,-0.572
400,GENI,1,0.0,0.75,0.25,0.893
401,DNMR,1,0.0,1.0,0.0,0.0
402,SA,1,0.0,0.638,0.362,0.609
403,VAL,1,0.0,0.638,0.362,0.609
404,COOP,1,0.0,1.0,0.0,0.0
405,ELVT,1,0.0,1.0,0.0,0.0
406,GAME,1,0.0,0.739,0.261,0.547
407,IBRX,1,0.0,0.667,0.333,0.718
408,NAVB,1,0.0,1.0,0.0,0.0
409,PHI,1,0.0,0.838,0.162,0.828
410,MRVL,1,0.0,0.297,0.703,0.796
411,DBX,1,0.096,0.674,0.23,0.866
412,CC,1,0.12,0.634,0.246,0.376
413,BCEL,1,0.161,0.839,0.0,-0.318
414,UAVS,1,0.0,1.0,0.0,0.0
415,PTC,1,0.0,1.0,0.0,0.0
416,MSM,1,0.0,1.0,0.0,0.0
417,APT,1,0.0,1.0,0.0,0.0
418,POSH,1,0.0,1.0,0.0,0.0
419,FSI,1,0.0,1.0,0.0,0.0
420,LIDR,1,0.0,0.829,0.171,0.399
421,AAP,1,0.176,0.62,0.205,0.192
422,TH,1,0.0,0.9,0.1,0.114
423,GOOD,1,0.13,0.739,0.13,0.0
424,MVO,1,0.0,0.832,0.168,0.532
425,ERC,1,0.0,1.0,0.0,0.0
426,VISL,1,0.047,0.58,0.373,0.945
427,EPAY,1,0.0,0.844,0.156,0.586
428,ABC,1,0.15,0.7,0.15,0.0
429,EFT,1,0.0,1.0,0.0,0.0
430,HIMS,1,0.0,0.783,0.217,0.361
431,NUE,1,0.149,0.641,0.211,0.385
432,PBH,1,0.148,0.852,0.0,-0.271
