,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
268,ISR,1,0.0,1.0,0.0,0.0
269,NVX,1,0.0,1.0,0.0,0.0
270,NEGG,1,0.0,0.714,0.286,0.25
271,ELMS,1,0.0,1.0,0.0,0.0
272,RE,1,0.0,1.0,0.0,0.0
273,POST,1,0.0,1.0,0.0,0.0
274,AL,1,0.193,0.62,0.188,-0.077
275,WING,1,0.193,0.62,0.188,-0.077
276,SM,1,0.193,0.62,0.188,-0.077
277,GE,1,0.193,0.62,0.188,-0.077
278,HOPE,1,0.193,0.62,0.188,-0.077
279,SOL,1,0.0,1.0,0.0,0.0
280,QCOM,1,0.316,0.494,0.19,-0.516
281,LOAN,1,0.0,1.0,0.0,0.0
282,LDI,1,0.0,1.0,0.0,0.0
283,COW,1,0.0,1.0,0.0,0.0
284,YQ,1,0.0,1.0,0.0,0.0
285,AE,1,0.0,1.0,0.0,0.0
286,CRSR,1,0.0,1.0,0.0,0.0
287,GWH,1,0.0,1.0,0.0,0.0
288,ESS,1,0.0,1.0,0.0,0.0
289,LUMN,1,0.0,1.0,0.0,0.0
290,NOK,1,0.375,0.625,0.0,-0.557
291,HYFM,1,0.0,1.0,0.0,0.0
292,LUNA,1,0.0,1.0,0.0,0.0
293,LE,1,0.0,1.0,0.0,0.0
294,UEC,1,0.0,1.0,0.0,0.0
295,GNOG,1,0.0,1.0,0.0,0.0
296,YELL,1,0.0,0.375,0.625,0.718
297,TTD,1,0.0,1.0,0.0,0.0
298,TX,1,0.262,0.35,0.388,0.111
299,TDOC,1,0.0,0.466,0.534,0.532
300,TBLT,1,0.0,0.375,0.625,0.718
301,CTRM,1,0.0,0.167,0.833,0.718
302,MC,1,0.058,0.687,0.255,0.735
303,ATI,1,0.0,1.0,0.0,0.0
304,UWMC,1,0.0,1.0,0.0,0.0
305,KULR,1,0.0,1.0,0.0,0.0
306,CMG,1,0.333,0.333,0.333,0.0
307,FT,1,0.0,1.0,0.0,0.0
308,NMR,1,0.0,1.0,0.0,0.0
309,BBY,1,0.357,0.286,0.357,0.0
310,MCHP,1,0.0,1.0,0.0,0.0
311,ZEV,1,0.0,1.0,0.0,0.0
312,KIND,1,0.0,0.24,0.76,0.746
313,SBEA,1,0.0,1.0,0.0,0.0
314,SWKS,1,0.0,1.0,0.0,0.0
315,ISPC,1,0.0,1.0,0.0,0.0
316,GSAT,1,0.0,1.0,0.0,0.0
317,GOLD,1,0.0,1.0,0.0,0.0
318,OGEN,1,0.0,1.0,0.0,0.0
319,DATS,1,0.0,1.0,0.0,0.0
320,BEKE,1,0.265,0.562,0.173,-0.386
321,OSTK,1,0.0,1.0,0.0,0.0
322,PGR,1,0.0,0.734,0.266,0.44
323,HE,1,0.202,0.714,0.084,-0.586
324,ROKU,1,0.0,0.667,0.333,0.718
325,MP,1,0.0,1.0,0.0,0.0
326,BP,1,0.0,1.0,0.0,0.0
327,IR,1,0.0,0.429,0.571,0.612
328,IRBT,1,0.0,0.429,0.571,0.612
329,API,1,0.0,1.0,0.0,0.0
330,GOOD,1,0.0,0.346,0.654,0.583
331,CE,1,0.0,1.0,0.0,0.0
332,PBF,1,0.0,1.0,0.0,0.0
333,PSA,1,0.0,0.688,0.312,0.718
334,JOBY,1,0.0,0.667,0.333,0.361
335,OM,1,0.0,1.0,0.0,0.0
336,PFGC,1,0.0,0.862,0.138,0.34
337,KEYS,1,0.0,1.0,0.0,0.0
338,TSE,1,0.0,0.794,0.206,0.599
339,CIA,1,0.0,0.794,0.206,0.599
340,TH,1,0.0,0.612,0.388,0.663
341,NAT,1,0.0,1.0,0.0,0.0
342,WTI,1,0.427,0.573,0.0,-0.303
343,BTBT,1,0.0,1.0,0.0,0.0
344,AMKR,1,0.0,1.0,0.0,0.0
345,NVDA,1,0.0,0.515,0.485,0.765
346,OSK,1,0.375,0.625,0.0,-0.557
347,CSII,1,0.3,0.7,0.0,-0.594
348,TLSA,1,0.0,1.0,0.0,0.0
349,BCH,1,0.0,1.0,0.0,0.0
350,TSM,1,0.184,0.441,0.376,0.56
351,EXP,1,0.349,0.229,0.423,0.318
352,IQ,1,0.0,0.769,0.231,0.459
353,EA,1,0.119,0.584,0.297,0.52
354,NYC,1,0.18,0.82,0.0,-0.296
355,OP,1,0.115,0.885,0.0,-0.296
356,HYPR,1,0.0,0.588,0.412,0.421
357,BLE,1,0.516,0.484,0.0,-0.645
358,TTWO,1,0.0,0.476,0.524,0.296
359,HYZN,1,0.0,1.0,0.0,0.0
360,UVXY,1,0.171,0.7,0.129,-0.422
361,GF,1,0.209,0.605,0.185,-0.172
362,XRX,1,0.549,0.451,0.0,-0.899
363,CFVI,1,0.0,1.0,0.0,0.0
364,PHUN,1,0.0,1.0,0.0,0.0
365,IRS,1,0.176,0.704,0.121,-0.273
366,DISCA,1,0.0,1.0,0.0,0.0
367,AU,1,0.066,0.866,0.069,0.026
368,PERI,1,0.0,0.745,0.255,0.34
369,IO,1,0.234,0.398,0.368,0.399
370,GAN,1,0.277,0.723,0.0,-0.318
371,MRNA,1,0.0,1.0,0.0,0.0
372,LMT,1,0.0,1.0,0.0,0.0
373,ABNB,1,0.0,1.0,0.0,0.0
374,NKLA,1,0.0,1.0,0.0,0.0
375,LOVE,1,0.0,0.556,0.444,0.886
376,SELF,1,0.0,0.556,0.444,0.886
377,DAL,1,0.0,0.556,0.444,0.886
378,PFE,1,0.533,0.467,0.0,-0.84
379,VS,1,0.0,0.357,0.643,0.802
380,RIVN,1,0.413,0.587,0.0,-0.276
