,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
309,JP,1,0.000,1.000,0.000,0.000
310,DVAX,1,0.000,0.480,0.520,0.670
311,MS,1,0.263,0.474,0.263,0.000
312,DECK,1,0.306,0.694,0.000,-0.774
313,GAMB,1,0.065,0.850,0.085,0.178
314,EE,1,0.000,0.807,0.193,0.780
315,AE,1,0.000,0.807,0.193,0.780
316,AKA,1,0.000,1.000,0.000,0.000
317,SGH,1,0.139,0.763,0.098,0.453
318,ONS,1,0.139,0.763,0.098,0.453
319,BEP,1,0.000,0.769,0.231,0.402
320,OCGN,1,0.000,1.000,0.000,0.000
321,CB,1,0.000,1.000,0.000,0.000
322,AL,1,0.000,0.830,0.170,0.309
323,SOPA,1,0.000,1.000,0.000,0.000
324,LOW,1,0.229,0.479,0.292,0.169
325,LYFT,1,0.360,0.432,0.209,-0.477
326,WHEN,1,0.000,1.000,0.000,0.000
327,VICR,1,0.417,0.583,0.000,-0.718
328,EGLX,1,0.000,0.502,0.498,0.873
329,MF,1,0.000,1.000,0.000,0.000
330,CRDO,1,0.000,1.000,0.000,0.000
331,ASA,1,0.000,1.000,0.000,0.000
332,SAM,1,0.000,1.000,0.000,0.000
333,BLK,1,0.000,1.000,0.000,0.000
334,FOMC,1,0.000,1.000,0.000,0.000
335,AAL,1,0.000,1.000,0.000,0.000
336,MNDT,1,0.000,1.000,0.000,0.000
337,SBEV,1,0.000,1.000,0.000,0.000
338,MGM,1,0.000,0.828,0.172,0.718
339,EVFM,1,0.000,0.500,0.500,0.250
340,DOCN,1,0.000,0.645,0.355,0.296
341,ARVL,1,0.000,1.000,0.000,0.000
342,XRTX,1,0.080,0.750,0.171,0.691
343,DOCS,1,0.129,0.765,0.106,-0.178
344,EOS,1,0.000,0.896,0.104,0.296
345,RTX,1,0.000,0.636,0.364,0.533
346,EARN,1,0.000,0.899,0.101,0.202
347,PLAY,1,0.000,0.899,0.101,0.202
348,DOUG,1,0.000,1.000,0.000,0.000
349,ASX,1,0.000,1.000,0.000,0.000
350,CLOV,1,0.155,0.845,0.000,-0.295
351,PIXY,1,0.000,1.000,0.000,0.000
352,CAR,1,0.000,0.375,0.625,0.718
353,ACT,1,0.330,0.670,0.000,-0.604
354,NCLH,1,0.000,0.734,0.266,0.440
355,RCL,1,0.000,0.734,0.266,0.440
356,TCS,1,0.000,1.000,0.000,0.000
357,DM,1,0.000,0.844,0.156,0.718
358,DCFC,1,0.000,1.000,0.000,0.000
359,RLX,1,0.000,1.000,0.000,0.000
360,CTS,1,0.000,1.000,0.000,0.000
361,IAG,1,0.000,1.000,0.000,0.000
362,TWO,1,0.000,0.719,0.281,0.778
363,TTCF,1,0.240,0.440,0.320,0.459
364,LAC,1,0.000,1.000,0.000,0.000
365,CGC,1,0.000,0.219,0.781,0.554
366,ATOS,1,0.000,0.672,0.328,0.748
367,CEMI,1,0.000,1.000,0.000,0.000
368,RIOT,1,0.558,0.309,0.133,-0.892
369,MGI,1,0.000,0.667,0.333,0.718
370,SKLZ,1,0.103,0.690,0.207,0.459
371,MRSN,1,0.000,0.580,0.420,0.440
372,MVIS,1,0.333,0.667,0.000,-0.459
373,IGMS,1,0.000,0.631,0.369,0.625
374,CVNA,1,0.000,0.726,0.274,0.599
375,VRM,1,0.000,0.726,0.274,0.599
376,PTE,1,0.000,1.000,0.000,0.000
377,ICE,1,0.000,0.922,0.078,0.525
378,GGPI,1,0.000,1.000,0.000,0.000
379,SQSP,1,0.000,1.000,0.000,0.000
380,CYRN,1,0.000,0.809,0.191,0.625
381,YELP,1,0.095,0.905,0.000,-0.622
382,WMT,1,0.000,1.000,0.000,0.000
383,INFO,1,0.000,1.000,0.000,0.000
384,OPEN,1,0.000,0.783,0.217,0.691
385,NOW,1,0.000,0.304,0.696,0.925
386,INVA,1,0.264,0.591,0.145,-0.382
387,MU,1,0.000,1.000,0.000,0.000
388,TTE,1,0.084,0.749,0.167,0.566
389,SHEL,1,0.084,0.749,0.167,0.566
390,UONE,1,0.000,1.000,0.000,0.000
391,WW,1,0.000,1.000,0.000,0.000
392,VIAC,1,0.000,1.000,0.000,0.000
393,EBET,1,0.000,0.412,0.588,0.691
