,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
192,ETHE,2,0.0,1.0,0.0,0.0
193,ALLO,1,0.0,0.515,0.485,0.691
194,UK,1,0.0,0.833,0.167,0.202
195,RIOT,1,0.591,0.409,0.0,-0.652
196,SNCY,1,0.0,1.0,0.0,0.0
197,IONQ,1,0.0,1.0,0.0,0.0
198,DPZ,1,0.714,0.286,0.0,-0.718
199,CPNG,1,0.0,1.0,0.0,0.0
200,PHUN,1,0.0,1.0,0.0,0.0
201,GMGI,1,0.0,1.0,0.0,0.0
202,OXY,1,0.0,1.0,0.0,0.0
203,MU,1,0.0,0.667,0.333,0.718
204,GENI,1,0.0,1.0,0.0,0.0
205,IP,1,0.0,0.945,0.055,0.178
206,BBLG,1,0.0,0.803,0.197,0.241
207,ABML,1,0.0,1.0,0.0,0.0
208,TRON,1,0.0,1.0,0.0,0.0
209,MVST,1,0.0,1.0,0.0,0.0
210,PSTX,1,0.0,0.707,0.293,0.44
211,NTES,1,0.0,0.444,0.556,0.718
212,AITX,1,0.0,1.0,0.0,0.0
213,IAG,1,0.335,0.532,0.133,-0.585
214,DIDI,1,0.0,0.899,0.101,0.402
215,CEI,1,0.0,0.761,0.239,0.856
216,MEME,1,0.0,0.761,0.239,0.856
217,AMPL,1,0.0,1.0,0.0,0.0
218,MRIN,1,0.0,1.0,0.0,0.0
219,SAGE,1,0.0,0.46,0.54,0.691
220,BL,1,0.609,0.391,0.0,-0.831
221,PETS,1,0.0,1.0,0.0,0.0
222,TDOC,1,0.549,0.451,0.0,-0.807
223,XSPA,1,0.0,0.735,0.265,0.202
224,YUM,1,0.0,0.727,0.273,0.459
225,AU,1,0.116,0.884,0.0,-0.44
226,GET,1,0.0,1.0,0.0,0.0
227,PIXY,1,0.0,1.0,0.0,0.0
228,FF,1,0.0,0.512,0.488,0.588
229,MARK,1,0.0,0.7,0.3,0.531
230,TSRI,1,0.0,1.0,0.0,0.0
231,GSM,1,0.0,1.0,0.0,0.0
232,APR,1,0.0,0.61,0.39,0.961
233,DPLS,1,0.0,1.0,0.0,0.0
234,MOLN,1,0.0,1.0,0.0,0.0
235,RA,1,0.0,0.877,0.123,0.542
236,DEX,1,0.0,0.877,0.123,0.542
237,BRTX,1,0.1,0.522,0.378,0.782
238,MAX,1,0.412,0.588,0.0,-0.87
239,VET,1,0.0,0.799,0.201,0.674
240,WOW,1,0.0,0.799,0.201,0.674
241,CPG,1,0.0,0.799,0.201,0.674
242,AUPH,1,0.0,1.0,0.0,0.0
243,BWEN,1,0.0,1.0,0.0,0.0
244,TTM,1,0.233,0.587,0.18,-0.128
245,QNRX,1,0.0,1.0,0.0,0.0
246,SPWH,1,0.0,0.585,0.415,0.428
247,STRR,1,0.6,0.4,0.0,-0.459
248,THG,1,0.214,0.495,0.291,0.338
249,XELA,1,0.0,0.762,0.238,0.361
250,COMP,1,0.0,1.0,0.0,0.0
251,VORB,1,0.0,1.0,0.0,0.0
252,LOVE,1,0.0,0.308,0.692,0.67
253,BEEM,1,0.0,1.0,0.0,0.0
254,JD,1,0.0,1.0,0.0,0.0
255,NE,1,0.168,0.635,0.197,0.153
256,BBI,1,0.0,1.0,0.0,0.0
257,JG,1,0.279,0.721,0.0,-0.735
258,BAM,1,0.279,0.721,0.0,-0.735
259,NPK,1,0.0,1.0,0.0,0.0
260,ISIG,1,0.0,1.0,0.0,0.0
261,BNGO,1,0.136,0.5,0.363,0.718
262,DK,1,0.0,0.867,0.133,0.318
263,TTWO,1,0.0,1.0,0.0,0.0
264,AXSM,1,0.0,0.362,0.638,0.742
265,POST,1,0.0,1.0,0.0,0.0
266,SLF,1,0.44,0.56,0.0,-0.67
267,POSH,1,0.0,1.0,0.0,0.0
268,TYDE,1,0.068,0.76,0.172,0.772
269,HEPS,1,0.0,0.488,0.512,0.273
270,IBRX,1,0.0,1.0,0.0,0.0
271,RAD,1,0.0,1.0,0.0,0.0
272,RMSL,1,0.0,0.545,0.455,0.361
273,MVIS,1,0.0,0.828,0.172,0.361
274,TSP,1,0.0,0.739,0.261,0.598
275,AUR,1,0.0,0.739,0.261,0.598
276,EMBK,1,0.0,0.739,0.261,0.598
277,CRSR,1,0.0,1.0,0.0,0.0
278,VTNR,1,0.0,1.0,0.0,0.0
279,EE,1,0.0,1.0,0.0,0.0
280,BIO,1,0.0,1.0,0.0,0.0
281,MS,1,0.0,1.0,0.0,0.0
282,PM,1,0.205,0.795,0.0,-0.202
283,CASH,1,0.0,1.0,0.0,0.0
284,LOOP,1,0.204,0.796,0.0,-0.681
285,TDY,1,0.556,0.444,0.0,-0.718
286,TER,1,0.556,0.444,0.0,-0.718
287,REAL,1,0.0,1.0,0.0,0.0
288,VS,1,0.0,0.769,0.231,0.511
289,HRTX,1,0.0,0.652,0.348,0.494
